# Image Analysis Results
# Crop Region: (1027, 703) - 132x38
# Threshold Value: 30
#
minute,filename,avg_pixel_value,white_black_ratio,white_percentage
1,capture_001.jpg,45.88197767145135,432.54545454545456,94.85645933014354
2,capture_002.jpg,3.1937799043062203,0.0008046670690002012,0.07974481658692185
3,capture_003.jpg,3.582336523125997,0.0012087026591458502,0.11961722488038277
4,capture_004.jpg,3.545055821371611,0.0006008411776487082,0.05980861244019139
5,capture_005.jpg,3.541267942583732,0.0018119589289309443,0.17942583732057416
6,capture_006.jpg,3.643141945773525,0.0014141414141414141,0.13955342902711323
7,capture_007.jpg,4.256578947368421,0.00020060180541624874,0.019936204146730464
8,capture_008.jpg,3.4531499202551834,0.0004014452027298274,0.03987240829346093
9,capture_009.jpg,3.325358851674641,0.0008032128514056225,0.07974481658692185
10,capture_010.jpg,3.449561403508772,0.0003996802557953637,0.03987240829346093
11,capture_011.jpg,3.493022328548644,0.0008006405124099279,0.07974481658692185
12,capture_012.jpg,3.7811004784688995,0.0008020854220974534,0.07974481658692185
13,capture_013.jpg,3.7370414673046253,0.0010080645161290322,0.0996810207336523
14,capture_014.jpg,3.7063397129186604,0.001206030150753769,0.11961722488038277
15,capture_015.jpg,4.0253189792663475,0.0014078841512469831,0.13955342902711323
16,capture_016.jpg,4.11164274322169,0.0008033741715203856,0.07974481658692185
17,capture_017.jpg,4.618022328548644,0.0008024072216649949,0.07974481658692185
18,capture_018.jpg,6.273524720893142,0.0069786535303776685,0.6778309409888358
19,capture_019.jpg,8.897527910685806,0.01881894873458793,1.7344497607655502
20,capture_020.jpg,9.1353668261563,0.019565684798967965,1.814194577352472
21,capture_021.jpg,12.993221690590111,0.06196424197893705,5.0438596491228065
22,capture_022.jpg,13.365430622009569,0.06854130052724078,5.442583732057416
23,capture_023.jpg,14.534489633173843,0.07744814912050407,5.881180223285487
